ID	Name	GR-KAN	GR-REV	GR-STM	GR-TINY
AT5G09440	EXL4	4.0069E+01	4.9295E+01	4.2803E+01	9.9762E+01
AT5G09970	CYP78A7	1.3210E+00	1.7179E+00	1.3498E+00	5.9969E+00
AT5G10100	TPPI	3.8898E+00	1.2991E+00	5.2128E+00	3.4014E+00
AT5G13220	TIFY9	2.2254E+00	1.0791E+01	2.3734E+00	6.0942E+00
AT5G14760	AO	4.0510E+00	3.9408E+00	5.6302E+00	1.0028E+01
AT5G16560	KAN1	2.3055E+02	2.7288E+00	5.3081E+00	4.0091E+00
AT5G17350	AT5G17350	1.9948E+00	1.4313E+00	2.8206E+00	2.7114E+00
AT5G17490	RGL3	5.9333E-01	5.8725E-01	7.4478E-01	2.9570E+00
AT5G17860	CCX1	1.3820E+00	6.5789E+00	2.9349E+00	1.0764E+01
AT5G19110	AT5G19110	3.6216E+00	7.5700E+00	3.4761E+00	1.4739E+01
AT5G20670	AT5G20670	3.9033E+00	7.9731E+00	6.0063E+00	2.8663E+00
AT5G21280	AT5G21280	3.7691E+00	4.2219E+00	4.1593E+00	1.2909E+01
AT5G25190	ERF003	6.0756E+00	1.4444E+01	1.1024E+01	3.9342E+00
AT5G25810	TINY	4.6060E+00	3.5533E+00	5.3588E+00	2.0453E+02
AT5G36925	AT5G36925	7.9232E+00	1.8046E+01	7.7173E+00	5.8048E+00
AT5G39080	AT5G39080	1.4048E+01	2.2306E+01	2.7348E+01	3.9099E+01
AT5G39580	PER62	1.8235E+01	2.4530E+01	1.1319E+01	2.0895E+01
AT5G41740	AT5G41740	8.0889E-01	8.8538E-01	1.0090E+00	7.8100E-01
AT5G43620	PCFS5	2.3821E+00	2.2523E+00	2.1888E+00	2.4869E+00
AT5G43890	YUC5	5.0644E-01	1.1541E+00	6.7878E-01	1.7718E+00
AT5G44568	AT5G44568	4.9031E+01	1.2769E+02	7.5755E+01	8.2053E+01
AT5G44574	AT5G44574	2.3044E+00	6.1686E+00	3.3240E+00	1.3099E+01
AT5G44575	AT5G44575	2.4321E+01	5.4493E+01	3.5422E+01	2.9046E+01
AT5G45340	CYP707A3	2.3309E+00	1.6035E+00	2.8541E+00	2.5436E+00
AT5G47370	HAT2	9.5192E+00	2.1237E+01	1.0949E+01	1.8924E+01
AT5G48430	AT5G48430	4.1713E+00	5.7400E+00	6.4577E+00	1.6149E+00
AT5G48490	AT5G48490	1.8147E+02	1.3141E+02	8.5239E+01	3.7600E+01
AT5G51190	ERF105	9.9923E+00	8.3441E+00	1.7942E+01	6.8612E+00
AT5G52020	ERF025	1.6398E+00	1.1701E+00	1.0409E+00	1.6693E+00
AT5G52310	LTI78	1.1844E+01	7.6648E+00	6.6866E+00	9.8462E+01
AT5G52900	MAKR6	2.7537E+00	3.8728E+00	4.5129E+00	3.5370E+00
AT5G53030	AT5G53030	1.7537E+00	1.7495E+00	2.6856E+00	1.4034E+00
AT5G53830	VQ33	4.1406E+00	7.3250E+00	8.6756E+00	5.0409E+00
AT5G54710	AT5G54710	5.6372E+00	6.9348E+00	7.0217E+00	8.2811E+00
AT5G54720	AT5G54720	4.6396E+00	5.7476E+00	6.0650E+00	8.9082E+00
AT5G57560	XTH22	1.8305E+01	1.2834E+01	1.3957E+01	1.0819E+01
AT5G59050	AT5G59050	1.2334E+00	1.0009E+00	1.2307E+00	6.8193E+00
AT5G59990	AT5G59990	2.6187E+00	1.2236E+00	4.4601E+00	1.4047E+00
AT5G60690	REV	2.9057E+00	1.0267E+02	4.8766E+00	3.9723E+00
AT5G61590	ERF107	2.1114E+01	6.1347E+01	4.0658E+01	4.5045E+01
AT5G61600	ERF104	7.1252E+00	9.7303E+00	1.7374E+01	8.3456E+00
AT5G62070	IQD23	1.6457E+01	1.9586E+01	1.4610E+01	4.0647E+01
AT5G62350	AT5G62350	9.0220E+02	5.4758E+02	2.7453E+02	5.3178E+02
AT5G62360	AT5G62360	5.4563E+01	3.1273E+01	4.9966E+00	1.7028E+01
AT5G64870	FLOT3	8.8500E-01	8.7338E-01	1.2633E+00	1.1126E+00
AT5G65300	AT5G65300	7.0177E+00	3.7176E+00	4.8771E+00	1.4033E+01
AT5G67190	ERF010	4.2320E+00	5.0510E+00	5.6857E+00	2.8302E+01
