name	group	rhop0	etap	etap.hat	gammap	kappa	R2
AT1G01300	AT1G01300	L	52.5208978032582	5.93780889114699	0.11305611936395	3.5	28.2640298409876	0.600389511852022
AT1G01470	LEA14	L	188.550206441061	42.9476582185551	0.227778367519212	3.5	56.9445918798029	0.662054201179738
AT1G01720	NAC002	L	15.8692259213521	5.15069939806445	0.324571559040832	3.5	81.142889760208	0.767333155090806
AT1G03730	AT1G03730	L	7.18524466099215	1.01944245175968	0.141879991546302	3.5	35.4699978865756	0.889757450383997
AT1G04430	AT1G04430	L	29.6891717573695	4.01499539289582	0.135234334784001	3.5	33.8085836960003	0.696175629201695
AT1G07570	APK1A	L	9.37264998269344	1.51667223073844	0.161818934190327	3.5	40.4547335475817	0.868524413763069
AT1G08920	SUGTL2	E	7.63223304528527	1.44093817265347	0.188796406517433	3.5	47.1991016293583	0.853027446482412
AT1G08930	ERD6	L	49.6183576166733	8.43235094795439	0.169944176973743	3.5	42.4860442434358	0.873409552115815
AT1G09070	SRC2	L	40.6680857188007	6.30867512285646	0.155125942403037	3.5	38.7814856007593	0.617589932381621
AT1G09950	RAS1	L	1.3099883302873	8.12473180389887	6.20214059625785	3.5	1550.53514906446	0.902223548213333
AT1G09970	LRR XI-23	L	22.9904982506422	3.78304601510886	0.164548239619086	3.5	41.1370599047716	0.768491277745937
AT1G11185	AT1G11185	E	10.6610852991423	1.14590493872339	0.107484829787037	3.5	26.8712074467592	0.650207885301147
AT1G13250	GATL3	L	22.5261878371159	3.19305658265907	0.141748644100265	3.5	35.4371610250664	0.965280731931097
AT1G13260	RAV1	L	13.8996644232886	1.76340661146944	0.126866847843815	3.5	31.7167119609536	0.712970923969826
AT1G13740	AFP2	L	5.93677540341605	1.1048460737119	0.186102050125758	3.5	46.5255125314396	0.866955032759713
AT1G14870	PCR2	L	12.2557077153476	1.65774100559061	0.135262772586739	3.5	33.8156931466848	0.755718314315258
AT1G15040	GAT	L	9.6748776959408	1.00007113447486	0.103367832225357	3.5	25.8419580563393	0.72211789386814
AT1G16850	AT1G16850	L	2.92613478856057	1.89732382747958	0.648406161909212	3.5	162.101540477303	0.702198749469773
AT1G17620	AT1G17620	L	38.7470824972437	7.72508436777672	0.199372026741013	3.5	49.8430066852533	0.823472362045371
AT1G18400	BEE1	L	10.6063578532721	3.36298849634883	0.317072886175658	3.5	79.2682215439145	0.789096281993628
AT1G19020	AT1G19020	L	15.5926068454647	4.16412755653704	0.26705781770854	3.5	66.7644544271351	0.718076541639986
AT1G19050	ARR7	L	8.90514977985853	1.12973130502823	0.12686269551394	3.5	31.7156738784851	0.658844345601429
AT1G19180	TIFY10A	L	16.2046651099765	4.70905739159163	0.290598871351712	3.5	72.649717837928	0.660970364589606
AT1G19770	PUP14	E	29.4664772152289	4.90829887414063	0.166572299711617	3.5	41.6430749279041	0.831687825355874
AT1G20440	COR47	L	179.002242793106	54.1671093260369	0.302605757787316	3.5	75.651439446829	0.802837305053959
AT1G20450	ERD10	L	83.4093489721106	76.0305729586338	0.911535384169656	3.5	227.883846042414	0.758121303030141
AT1G23030	PUB11	E	12.9576161273811	1.3595358926335	0.10492176024266	3.5	26.230440060665	0.813766316001628
AT1G24170	GATL8	L	25.435599655941	3.6932216620481	0.145198922455342	3.5	36.2997306138354	0.916794174402753
AT1G24530	AT1G24530	L	12.5892695554365	1.77358355626914	0.140880576784794	3.5	35.2201441961985	0.94047799218038
AT1G25560	TEM1	L	15.6157610881139	2.03323267160695	0.130203879281591	3.5	32.5509698203978	0.61730460311222
AT1G26270	PI4KG5	L	18.5847845930919	2.14665480624544	0.115506036429574	3.5	28.8765091073934	0.944263283366229
AT1G27930	AT1G27930	L	16.6027755842744	1.89076782167198	0.113882634386919	3.5	28.4706585967297	0.781341756066126
AT1G30360	ERD4	L	63.9033291464565	10.0633597858606	0.157477864146904	3.5	39.369466036726	0.917298786134353
AT1G30820	AT1G30820	L	21.3203124915476	2.38126266377138	0.111689857487569	3.5	27.9224643718922	0.764479810398066
AT1G33600	AT1G33600	L	18.9233103507575	2.48964092781709	0.13156476756285	3.5	32.8911918907125	0.698366453548389
AT1G45688	AT1G45688	L	35.4899596984614	4.49893759940349	0.126766489385406	3.5	31.6916223463514	0.833098303229341
AT1G46768	RAP2-1	L	14.3136210658096	2.69288954762143	0.188134751873083	3.5	47.0336879682709	0.929481424468154
AT1G49500	AT1G49500	E	94.6215794366135	10.802033341604	0.114160357562413	3.5	28.5400893906032	0.63853458778299
AT1G50740	FAX5	E	19.3721599429445	2.21291077979629	0.114231494387504	3.5	28.5578735968759	0.601467323934025
AT1G53170	ERF8	L	17.0878354994078	9.81912460904489	0.574626587983317	3.5	143.656646995829	0.898343649047682
AT1G54290	AT1G54290	L	18.5000575846796	2.17537861352849	0.11758766715029	3.5	29.3969167875724	0.653261601365162
AT1G57990	PUP18	E	8.49642103545003	2.10022830778855	0.247189763669392	3.5	61.797440917348	0.738254555478168
AT1G58590	AT1G58590	L	22.0832529265638	5.69754788496584	0.258003107780933	3.5	64.5007769452332	0.756376248966846
AT1G59970	AT1G59970	L	9.15394911996772	1.4050142624262	0.153487226552462	3.5	38.3718066381156	0.881291489053434
AT1G64390	AtGH9C2	L	18.5633460444671	3.83722123772084	0.206709567797156	3.5	51.677391949289	0.620342468640437
AT1G64720	CP5	E	196.204585392749	23.9232527814335	0.121930141100146	3.5	30.4825352750364	0.619048365159047
AT1G66180	AT1G66180	E	20.0436497627042	2.37318952745574	0.118401067447886	3.5	29.6002668619714	0.67090076901108
