source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
KAN1	UTR1	L	9.041	-0.7986	-0.0883	5	-22.0831	-0.8408	0.8855
KAN1	PYL6	L	27.637	-2.4278	-0.0878	4.1867	-21.9615	-1.0726	0.9119
KAN1	AT5G11090	L	36.0115	-3.1514	-0.0875	4.0447	-21.8779	-1.1231	0.9075
KAN1	AT2G27500	L	11.4944	-0.9792	-0.0852	5	-21.2975	-0.8008	0.8121
KAN1	AT4G25620	L	7.9236	-0.6736	-0.085	3.1561	-21.2524	-1.6143	0.9021
KAN1	SAUR78	L	103.3145	-8.7092	-0.0843	3.971	-21.0746	-1.0915	0.8245
KAN1	AT1G21830	L	14.9647	-1.2496	-0.0835	2.8883	-20.8759	-1.8509	0.9541
KAN1	PYL5	L	67.6004	-5.6348	-0.0834	3.8941	-20.8388	-1.1051	0.9524
KAN1	AT1G09575	L	4.3226	-0.3529	-0.0816	5	-20.4074	-0.7567	0.9083
KAN1	ARL	L	34.8558	-2.7612	-0.0792	3.1306	-19.8046	-1.4446	0.8441
KAN1	AT1G18010	L	6.1267	-0.4788	-0.0781	3.3777	-19.537	-1.2461	0.9214
KAN1	ERF060	L	6.7629	-0.5242	-0.0775	3.2411	-19.3766	-1.3142	0.955
KAN1	LUL4	L	5.6391	-0.422	-0.0748	3.43	-18.7085	-1.1375	0.8806
KAN1	XTH24	L	46.7766	-3.4829	-0.0745	2.3403	-18.6145	-2.289	0.9021
KAN1	AT3G08030	L	110.6513	-8.144	-0.0736	5	-18.4002	-0.662	0.9162
KAN1	NPF5.7	L	2.1903	-0.1583	-0.0723	5	-18.0697	-0.647	0.8636
KAN1	AT4G18970	L	55.7317	-3.9492	-0.0709	3.2811	-17.7154	-1.1201	0.8529
KAN1	TPR2	L	6.9839	-0.4925	-0.0705	5	-17.6308	-0.6273	0.822
KAN1	PAP17	L	24.6114	-1.726	-0.0701	2.6958	-17.5326	-1.5161	0.8312
KAN1	AT5G20110	L	4.2479	-0.2972	-0.07	2.9822	-17.4893	-1.2739	0.8293
KAN1	WRKY18	L	9.3014	-0.6447	-0.0693	1.8227	-17.3272	-4.3406	0.8368
KAN1	AR192	L	17.5185	-1.2061	-0.0688	5	-17.2112	-0.6087	0.8815
KAN1	AT3G21530	L	3.2528	-0.223	-0.0686	2.9844	-17.1379	-1.2319	0.8219
KAN1	AT1G68780	L	2.9163	-0.1999	-0.0686	3.8986	-17.1378	-0.8354	0.8488
KAN1	UTR3	L	9.3789	-0.6422	-0.0685	4.6175	-17.1188	-0.6683	0.8594
KAN1	AT3G17640	L	6.1189	-0.4001	-0.0654	3.0708	-16.3462	-1.0964	0.8249
KAN1	IRT3	L	23.357	-1.5268	-0.0654	3.0147	-16.3424	-1.1268	0.8961
KAN1	SR30	L	49.208	-3.2001	-0.065	5	-16.2582	-0.5674	0.8419
KAN1	AT2G43630	L	45.6611	-2.9664	-0.065	5	-16.2415	-0.5667	0.8257
KAN1	AT3G12050	L	39.5352	-2.5264	-0.0639	4.8184	-15.9759	-0.5811	0.9169
KAN1	AT5G67130	L	9.5479	-0.606	-0.0635	5	-15.8679	-0.5508	0.8726
KAN1	PUP22	L	2.1649	-0.1341	-0.0619	1.563	-15.4809	-6.7073	0.8877
KAN1	AT2G23790	L	7.7561	-0.4785	-0.0617	5	-15.425	-0.5322	0.9266
KAN1	AT2G40270	L	6.4675	-0.3895	-0.0602	2.602	-15.0551	-1.2468	0.85
KAN1	IP5P2	L	6.7575	-0.4032	-0.0597	1.7925	-14.9152	-2.5741	0.8542
KAN1	Hsp89.1	L	25.2795	-1.4739	-0.0583	3.8525	-14.5763	-0.6859	0.8856
KAN1	UGT72C1	L	1.6273	-0.0933	-0.0573	1.5129	-14.3301	-4.2426	0.9483
KAN1	ZFP8	L	25.5183	-1.4606	-0.0572	2.2008	-14.3092	-1.5153	0.8751
KAN1	AT3G12710	L	18.0042	-1.0178	-0.0565	1.7535	-14.1334	-2.3658	0.9461
KAN1	AT1G30070	L	13.7424	-0.7588	-0.0552	4.1095	-13.8031	-0.5905	0.8437
KAN1	MAKR6	L	4.8585	-0.2664	-0.0548	0.8993	-13.7069	NA	0.9106
KAN1	AT1G64760	L	6.4321	-0.346	-0.0538	3.2877	-13.4492	-0.759	0.8118
KAN1	QUA2	L	13.1711	-0.7072	-0.0537	4.1892	-13.4228	-0.5573	0.8338
KAN1	APO4	L	2.5548	-0.1351	-0.0529	2.9122	-13.2163	-0.8726	0.8503
KAN1	ZHD4	L	13.0612	-0.6869	-0.0526	4.2796	-13.1483	-0.5296	0.8453
KAN1	LYM3	L	8.642	-0.4483	-0.0519	4.3654	-12.9676	-0.5085	0.8434
KAN1	CIL	L	8.2986	-0.4234	-0.051	1.0668	-12.7552	NA	0.9576
KAN1	MIEL1	L	34.4127	-1.7513	-0.0509	3.6451	-12.723	-0.6194	0.8343
KAN1	AT1G01490	L	71.2265	-3.5876	-0.0504	1.9185	-12.5923	-1.5411	0.8525
KAN1	PIF3	L	17.5692	-0.8846	-0.0504	2.4869	-12.588	-1.0179	0.827
KAN1	AT3G56050	L	19.314	-0.9655	-0.05	4.0439	-12.4972	-0.5333	0.8114
KAN1	AT4G30490	L	7.4218	-0.3707	-0.0499	1.5766	-12.4869	-2.2654	0.9524
KAN1	AT5G07340	L	25.8062	-1.2744	-0.0494	2.9124	-12.3461	-0.7956	0.9778
KAN1	AT1G76360	L	5.4641	-0.2664	-0.0488	1.8119	-12.1898	-1.6115	0.8208
KAN1	CRLK1	L	4.3413	-0.2093	-0.0482	2.3287	-12.051	-1.0514	0.8412
KAN1	GATL9	L	11.5093	-0.5517	-0.0479	1.5055	-11.983	-2.2929	0.9509
KAN1	KAT1	L	2.3466	-0.1123	-0.0478	1.6769	-11.9591	-1.8017	0.884
KAN1	NPF1.2	L	47.8766	-2.2419	-0.0468	2.2215	-11.7064	-1.0799	0.8127
KAN1	OFP5	L	1.6699	-0.0765	-0.0458	0.8132	-11.4469	NA	0.8608
KAN1	ANAC034	L	6.5891	-0.3015	-0.0458	1.1493	-11.4407	-7.7853	0.8444
KAN1	GID1A	L	7.6576	-0.3502	-0.0457	1.4377	-11.4341	-2.2885	0.8831
KAN1	TIFY11B	L	17.9747	-0.8199	-0.0456	1.1277	-11.4032	NA	0.9133
KAN1	SDF2	L	52.7255	-2.3702	-0.045	3.5879	-11.2385	-0.5421	0.8193
KAN1	CIPK7	L	101.6514	-4.5652	-0.0449	2.2238	-11.2276	-1.0142	0.8082
KAN1	MYB44	L	50.7528	-2.2748	-0.0448	1.6465	-11.2053	-1.6463	0.9131
KAN1	CRK30	L	9.2981	-0.4157	-0.0447	0.731	-11.1762	NA	0.8103
KAN1	ERF043	L	3.7696	-0.1685	-0.0447	1.2611	-11.1739	-3.1334	0.8134
KAN1	AT4G13400	L	3.2101	-0.1421	-0.0443	2.3893	-11.0629	-0.8971	0.8241
KAN1	LBO1	L	8.7277	-0.3811	-0.0437	1.8908	-10.9156	-1.2423	0.8697
KAN1	NAC062	L	10.4118	-0.4414	-0.0424	1.7125	-10.5996	-1.3919	0.8467
KAN1	AT1G71970	L	17.2077	-0.7255	-0.0422	1.8137	-10.54	-1.2555	0.8154
KAN1	FLN1	L	29.6918	-1.2292	-0.0414	3.1915	-10.35	-0.5655	0.8453
KAN1	PME53	L	8.54	-0.3493	-0.0409	1.9454	-10.2242	-1.0757	0.8616
KAN1	LPP1	L	6.9014	-0.2822	-0.0409	1.881	-10.2233	-1.1313	0.8054
KAN1	SIGD	L	6.2213	-0.2524	-0.0406	2.3891	-10.1406	-0.797	0.8025
KAN1	AT4G29360	L	4.5475	-0.1837	-0.0404	1.817	-10.0991	-1.1707	0.9401
KAN1	AGP18	L	112.3503	-4.5378	-0.0404	2.059	-10.0974	-0.9726	0.8973
KAN1	AT3G14870	L	4.1681	-0.1678	-0.0403	0.5755	-10.0638	NA	0.9706
KAN1	AHL15	L	8.5704	-0.3424	-0.04	2.1898	-9.988	-0.8786	0.8371
KAN1	GAUT15	L	3.2663	-0.1301	-0.0398	1.4521	-9.9573	-1.67	0.8749
KAN1	GFAT	L	1.5861	-0.0621	-0.0392	2.3612	-9.7942	-0.773	0.8669
KAN1	UGT86A2	L	11.6032	-0.4494	-0.0387	2.5805	-9.6831	-0.6786	0.8636
KAN1	AT1G60590	L	2.1544	-0.0832	-0.0386	1.0707	-9.6556	-3.3486	0.9127
KAN1	PATL6	L	28.2001	-1.0769	-0.0382	2.3414	-9.5465	-0.7557	0.8655
KAN1	AT2G26190	L	7.8484	-0.2947	-0.0375	2.034	-9.3857	-0.8928	0.8377
KAN1	ABCG4	L	3.481	-0.1303	-0.0374	0.3802	-9.3613	NA	0.9495
KAN1	NIK1	L	7.0697	-0.2591	-0.0366	2.8693	-9.1612	-0.5549	0.8127
KAN1	AT2G42450	L	1.7051	-0.0623	-0.0365	2.1059	-9.1369	-0.8208	0.8493
KAN1	AT1G27100	L	13.0575	-0.477	-0.0365	1.5872	-9.132	-1.2357	0.8786
KAN1	CYP78A5	L	2.3388	-0.084	-0.0359	0.9326	-8.981	-4.7562	0.8215
KAN1	NPY3	L	3.7571	-0.1348	-0.0359	1.9701	-8.9701	-0.8765	0.8663
KAN1	PRE6	L	12.0643	-0.4303	-0.0357	0.4887	-8.9171	NA	0.8544
KAN1	SR45A	L	24.151	-0.8574	-0.0355	1.4208	-8.8754	-1.4138	0.8878
KAN1	AT1G24530	L	14.9562	-0.5241	-0.035	0.6771	-8.7604	NA	0.8688
KAN1	CIPK21	L	6.9952	-0.2395	-0.0342	1.2706	-8.5586	-1.6152	0.8748
KAN1	PCMP-E27	L	4.0034	-0.1345	-0.0336	1.1455	-8.4	-1.9067	0.8384
KAN1	AT3G51530	L	3.2715	-0.108	-0.033	1.7027	-8.2563	-0.9571	0.8453
KAN1	LBD38	L	58.7449	-1.9199	-0.0327	1.2881	-8.1706	-1.4514	0.9415
KAN1	BZIP61	L	24.2916	-0.7924	-0.0326	2.6428	-8.1549	-0.5324	0.8429
KAN1	IQD24	L	6.1843	-0.2011	-0.0325	0.2779	-8.131	NA	0.8825
KAN1	AT5G23100	L	4.6418	-0.1497	-0.0323	2.4051	-8.0639	-0.5892	0.802
KAN1	AXY4	L	12.2488	-0.3924	-0.032	2.5956	-8.0081	-0.5322	0.8495
KAN1	DOF2.1	L	11.986	-0.3686	-0.0308	2.0144	-7.6881	-0.6935	0.8471
KAN1	ARGOS	L	10.7838	-0.33	-0.0306	0.8573	-7.6495	-3.2149	0.8012
