source	name	group	rhop0	etap	etap.hat	gammap	kappa	logFCinf	R2
TINY	APK2B	L	8.3578	0.6759	0.0809	1.2641	20.2175	1.3782	0.9425
TINY	iqd2	L	30.7408	2.5048	0.0815	1.5046	20.3706	1.2351	0.9333
TINY	AT4G16490	L	19.7787	1.6269	0.0823	2.1109	20.5635	0.9812	0.9612
TINY	LNK4	E	8.5955	0.7138	0.083	0.3864	20.7604	2.6718	0.8342
TINY	AT2G21120	L	13.5807	1.1292	0.0831	5	20.786	0.5015	0.8432
TINY	AtRLP46	E	1.0375	0.0874	0.0843	1.6605	21.0642	1.1818	0.8623
TINY	AT5G04550	L	10.4421	0.8852	0.0848	5	21.1933	0.5098	0.8877
TINY	TCP14	L	15.2442	1.3035	0.0855	5	21.3774	0.5135	0.8774
TINY	GATL7	L	22.5321	1.97	0.0874	5	21.8572	0.5232	0.8523
TINY	AZF3	L	8.3948	0.7391	0.088	2.3356	22.0113	0.9579	0.9352
TINY	AT5G43190	L	8.4373	0.7456	0.0884	5	22.0922	0.5279	0.8156
TINY	BAG1	L	29.1515	2.6382	0.0905	0.462	22.6248	2.5601	0.9519
TINY	GK-2	L	14.0597	1.2733	0.0906	1.2721	22.6413	1.475	0.9472
TINY	AT2G27500	E	12.3496	1.1215	0.0908	1.1793	22.7042	1.5485	0.8298
TINY	CKX4	L	2.5851	0.2351	0.0909	1.3354	22.7356	1.4343	0.9457
TINY	AT5G45730	L	1.27	0.1157	0.0911	1.695	22.7804	1.229	0.8562
TINY	NPF4.3	L	2.9266	0.2682	0.0916	0.8675	22.9068	1.8642	0.8659
TINY	AT1G27690	L	3.6509	0.3352	0.0918	5	22.9507	0.545	0.8031
TINY	AT4G10390	L	1.8652	0.1716	0.092	1.7665	23.0042	1.203	0.8566
TINY	PUB11	E	11.5285	1.0662	0.0925	1.2636	23.121	1.5007	0.9566
TINY	SIB2	L	31.6278	2.9293	0.0926	0.7128	23.1542	2.0869	0.9391
TINY	AT2G15320	L	19.7309	1.8376	0.0931	0.6691	23.2833	2.1634	0.9391
TINY	AtcPT4	L	18.095	1.6963	0.0937	1.0978	23.4366	1.6484	0.9529
TINY	BBX27	E	6.2358	0.5878	0.0943	5	23.5647	0.5571	0.8729
TINY	COR47	L	197.448	18.6586	0.0945	0.0361	23.6247	6.0557	0.9188
TINY	TIP1-2	E	751.5083	71.2771	0.0948	5	23.7114	0.56	0.8201
TINY	AT3G06770	L	12.6749	1.2025	0.0949	5	23.7183	0.5601	0.8675
TINY	AT5G66650	E	5.5217	0.5307	0.0961	1.0813	24.0268	1.688	0.8897
TINY	AT2G18860	L	11.1205	1.0873	0.0978	5	24.4439	0.5742	0.8746
TINY	APK1A	L	9.5982	0.9422	0.0982	1.6829	24.5404	1.2976	0.8924
TINY	AT2G46250	E	5.8804	0.5779	0.0983	5	24.5685	0.5766	0.8029
TINY	BBX18	L	5.3426	0.5257	0.0984	5	24.5998	0.5772	0.8619
TINY	AT4G35240	E	2.9622	0.2924	0.0987	1.298	24.6788	1.5367	0.9443
TINY	AT5G14730	E	3.7836	0.3752	0.0992	5	24.7917	0.5809	0.8217
TINY	DOF3.4	L	2.6195	0.2598	0.0992	5	24.7929	0.581	0.8051
TINY	DOF2.1	L	18.5015	1.839	0.0994	0.8551	24.8496	1.9658	0.8962
TINY	AT4G29310	E	9.4458	0.9399	0.0995	4.7569	24.8771	0.6069	0.9526
TINY	RTFL8	L	25.2867	2.5278	0.1	3.9567	24.9918	0.7063	0.8009
TINY	FLA13	L	296.7362	29.7375	0.1002	5	25.0538	0.586	0.832
TINY	AT4G17250	E	3.1198	0.3133	0.1004	4.0319	25.1058	0.6984	0.8049
TINY	WNK2	L	3.1334	0.3163	0.101	2.5378	25.2402	0.9961	0.8615
TINY	PCMP-H65	L	1.8169	0.1835	0.101	2.1868	25.2528	1.1075	0.8028
TINY	IQD24	L	8.0906	0.82	0.1014	3.8746	25.3386	0.7259	0.839
TINY	AT3G26700	L	4.6605	0.4746	0.1018	1.2368	25.4569	1.6127	0.8729
TINY	AT5G19060	L	0.6511	0.0665	0.1021	1.3891	25.5271	1.5047	0.9706
TINY	P1R3	E	4.18	0.4279	0.1024	0.1516	25.5916	4.1603	0.8263
TINY	TGA4	L	5.8054	0.5976	0.1029	3.7677	25.7357	0.7511	0.8039
TINY	SAUR72	L	1.5495	0.1597	0.103	3.1738	25.7586	0.8573	0.8583
TINY	ATL6	L	7.825	0.8101	0.1035	5	25.8809	0.6018	0.8303
TINY	FLA18	L	30.5678	3.2225	0.1054	3.6494	26.355	0.7842	0.8824
TINY	TPPJ	L	2.775	0.2926	0.1054	0.8973	26.3574	1.9773	0.8819
TINY	MAKR2	L	1.8332	0.1933	0.1054	2.4307	26.3611	1.0597	0.8822
TINY	AT3G60320	L	17.9231	1.8987	0.1059	5	26.4837	0.6132	0.9001
TINY	RTFL16	L	27.6136	2.9429	0.1066	1.6867	26.644	1.3672	0.9727
TINY	SCL7	E	3.9925	0.4272	0.107	2.6505	26.7512	1.0067	0.8983
TINY	SULTR3%3B3	L	7.2468	0.795	0.1097	3.6956	27.4274	0.8009	0.8679
