ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT1G68260	0.023	0.006	0.041	0.008	30.057	2.779	0.012874	AT1G68260
AT1G68290	0.111	0.072	0.151	0.019	6.243	5.93	1.6464e-05	ENDO2
AT1G68300	0.038	0.023	0.053	0.007	18.166	5.379	4.9935e-05	AT1G68300
AT1G68340	0.296	0.222	0.37	0.035	2.345	8.426	1.7884e-07	AT1G68340
AT1G68360	0.689	0.61	0.768	0.038	1.006	18.352	1.2138e-12	AT1G68360
AT1G68370	0.227	0.158	0.296	0.033	3.056	6.919	2.4801e-06	ATJ15
AT1G68400	0.179	0.137	0.22	0.02	3.879	9.137	5.7148e-08	AT1G68400
AT1G68410	0.187	0.144	0.23	0.02	3.709	9.188	5.2766e-08	AT1G68410
AT1G68430	0.217	0.135	0.298	0.039	3.201	5.612	3.1076e-05	AT1G68430
AT1G68440	0.092	0.013	0.172	0.037	7.497	2.476	0.024847	AT1G68440
AT1G68470	0.586	0.474	0.698	0.053	1.184	11.023	3.6447e-09	AT1G68470
AT1G68490	0.168	0.106	0.231	0.03	4.124	5.675	2.7414e-05	AT1G68490
AT1G68540	0.091	0.063	0.119	0.013	7.637	6.816	3.0065e-06	TKPR2
AT1G68550	1.606	1.375	1.837	0.109	0.432	14.667	4.4166e-11	ERF118
AT1G68560	0.151	0.099	0.202	0.025	4.604	6.116	1.1409e-05	XYL1
AT1G68570	0.354	0.254	0.453	0.047	1.959	7.511	8.5245e-07	NPF3.1
AT1G68580	1.497	1.266	1.727	0.109	0.463	13.719	1.2657e-10	AT1G68580
AT1G68585	0.492	0.394	0.59	0.046	1.409	10.605	6.5035e-09	AT1G68585
AT1G68590	0.252	0.204	0.299	0.022	2.753	11.196	2.8853e-09	AT1G68590
AT1G68660	0.064	0.04	0.089	0.011	10.752	5.631	2.9932e-05	AT1G68660
AT1G68670	0.203	0.069	0.337	0.063	3.414	3.203	0.0055464	AT1G68670
AT1G68680	0.126	0.09	0.161	0.017	5.517	7.448	9.5231e-07	AT1G68680
AT1G68690	0.194	0.113	0.274	0.038	3.581	5.071	9.4386e-05	PERK9
AT1G68720	0.163	0.106	0.22	0.027	4.245	6.033	1.3448e-05	TADA
AT1G68760	0.07	0.051	0.09	0.009	9.832	7.519	8.4088e-07	NUDT1
AT1G68790	0.219	0.168	0.27	0.024	3.165	9.129	5.7839e-08	CRWN3
AT1G68820	0.128	0.088	0.169	0.019	5.406	6.665	3.9821e-06	AT1G68820
AT1G68830	0.125	0.097	0.154	0.014	5.523	9.196	5.2125e-08	STN7
AT1G68840	0.518	0.412	0.624	0.05	1.338	10.29	1.017e-08	RAV2
AT1G68890	0.15	0.104	0.195	0.021	4.635	6.975	2.2387e-06	PHYLLO
AT1G68910	0.093	0.064	0.122	0.014	7.425	6.774	3.2472e-06	WIT2
AT1G68920	0.135	0.076	0.193	0.028	5.151	4.861	0.00014662	BHLH49
AT1G68980	0.197	0.145	0.248	0.024	3.522	8.042	3.4e-07	AT1G68980
AT1G68990	0.485	0.371	0.599	0.054	1.429	8.97	7.4247e-08	RPOT1
AT1G69010	0.241	0.18	0.302	0.029	2.876	8.346	2.0411e-07	BIM2
AT1G69020	0.684	0.448	0.919	0.111	1.014	6.132	1.1067e-05	AT1G69020
AT1G69030	0.185	0.144	0.227	0.02	3.738	9.469	3.4265e-08	AT1G69030
AT1G69040	0.192	0.075	0.31	0.056	3.605	3.461	0.0029864	ACR4
AT1G69070	0.264	0.194	0.335	0.034	2.621	7.865	4.6e-07	AT1G69070
AT1G69080	0.148	0.096	0.201	0.025	4.672	5.946	1.5949e-05	AT1G69080
AT1G69170	0.463	0.316	0.61	0.07	1.498	6.639	4.1855e-06	SPL6
AT1G69200	0.316	0.244	0.388	0.034	2.194	9.31	4.3707e-08	FLN2
AT1G69210	0.499	0.333	0.665	0.079	1.389	6.349	7.2697e-06	AT1G69210
AT1G69220	0.185	0.133	0.237	0.025	3.742	7.498	8.7244e-07	SIK1
AT1G69230	0.025	0.009	0.041	0.008	27.704	3.25	0.0047159	SP1L2
AT1G69250	0.16	0.123	0.196	0.017	4.345	9.194	5.2249e-08	AT1G69250
AT1G69260	0.12	0.044	0.197	0.036	5.757	3.32	0.0043286	AFP1
AT1G69270	0.549	0.423	0.675	0.06	1.263	9.175	5.3849e-08	RPK1
AT1G69280	0.301	0.153	0.449	0.07	2.301	4.298	0.00048675	AT1G69280
AT1G69295	0.246	0.173	0.32	0.035	2.812	7.054	1.9364e-06	PDCB4
AT1G69310	0.515	0.402	0.627	0.053	1.347	9.653	2.5932e-08	WRKY57
AT1G69330	0.547	0.436	0.658	0.053	1.267	10.389	8.8259e-09	AT1G69330
AT1G69340	0.113	0.084	0.142	0.014	6.136	8.121	2.9717e-07	AT1G69340
AT1G69350	0.526	0.349	0.702	0.084	1.318	6.292	8.1074e-06	PCMP-E66
AT1G69360	0.397	0.293	0.501	0.049	1.747	8.079	3.1926e-07	AT1G69360
AT1G69370	0.503	0.411	0.594	0.043	1.379	11.609	1.6673e-09	CM3
AT1G69380	0.168	0.12	0.216	0.023	4.125	7.325	1.1862e-06	AT1G69380
AT1G69390	0.066	0.047	0.086	0.009	10.44	7.174	1.558e-06	MINE1
AT1G69400	0.091	0.071	0.112	0.01	7.594	9.424	3.6649e-08	BUB3.3
AT1G69410	0.033	0.017	0.049	0.008	21.17	4.257	0.0005323	ELF5A-3
AT1G69420	0.179	0.127	0.232	0.025	3.872	7.196	1.4955e-06	PAT22
AT1G69430	0.398	0.27	0.526	0.061	1.74	6.565	4.81e-06	AT1G69430
AT1G69450	0.252	0.197	0.307	0.026	2.753	9.611	2.7617e-08	AT1G69450
AT1G69480	0.332	0.268	0.396	0.03	2.086	10.967	3.9373e-09	PHO1-H10
AT1G69490	0.129	0.01	0.248	0.056	5.362	2.307	0.034768	NAC029
AT1G69500	0.284	0.169	0.4	0.055	2.438	5.2	7.2296e-05	CYP704B1
AT1G69510	0.031	0.018	0.044	0.006	22.607	4.926	0.00012789	AT1G69510
AT1G69530	1.756	1.517	1.996	0.113	0.395	15.478	1.8803e-11	EXPA1
AT1G69570	0.315	0.212	0.418	0.049	2.2	6.467	5.7927e-06	CDF5
AT1G69580	0.361	0.249	0.473	0.053	1.919	6.787	3.1712e-06	AT1G69580
AT1G69610	1.009	0.388	1.63	0.294	0.687	3.429	0.0032038	AT1G69610
AT1G69620	0.055	0.04	0.071	0.007	12.497	7.407	1.0249e-06	RPL34B
AT1G69630	0.179	0.132	0.226	0.022	3.875	8.097	3.0947e-07	FBL13
AT1G69640	0.277	0.198	0.356	0.038	2.504	7.379	1.0768e-06	SBH1
AT1G69670	0.437	0.34	0.533	0.046	1.587	9.518	3.1788e-08	CUL3B
AT1G69680	0.04	0.01	0.07	0.014	17.388	2.832	0.012027	AT1G69680
AT1G69690	0.372	0.253	0.491	0.056	1.864	6.615	4.3773e-06	TCP15
AT1G69700	0.123	0.097	0.148	0.012	5.647	10.089	1.359e-08	HVA22C
AT1G69720	0.09	0.068	0.113	0.011	7.685	8.497	1.592e-07	HO3
AT1G69740	0.122	0.094	0.15	0.013	5.678	9.303	4.4149e-08	HEMB1
AT1G69760	1.374	1.13	1.617	0.115	0.505	11.895	1.1512e-09	AT1G69760
AT1G69770	0.277	0.227	0.327	0.024	2.505	11.671	1.5371e-09	CMT3
AT1G69780	0.97	0.741	1.2	0.109	0.714	8.934	7.8676e-08	ATHB-13
AT1G69800	0.359	0.287	0.431	0.034	1.931	10.497	7.5699e-09	CBSCBS2
AT1G69810	0.401	0.3	0.502	0.048	1.729	8.35	2.0287e-07	WRKY36
AT1G69830	0.11	0.082	0.138	0.013	6.296	8.392	1.8909e-07	AMY3
AT1G69840	0.064	0.048	0.08	0.008	10.752	8.517	1.5408e-07	HIR2
AT1G69850	0.226	0.165	0.287	0.029	3.066	7.829	4.8914e-07	NPF4.6
AT1G69880	0.032	0.012	0.052	0.009	21.451	3.421	0.0035025	TRX8
AT1G69890	0.144	0.036	0.251	0.051	4.828	2.826	0.01218	AT1G69890
AT1G69910	1.761	1.162	2.36	0.284	0.394	6.201	9.6769e-06	AT1G69910
AT1G69935	0.269	0.214	0.324	0.026	2.578	10.31	9.8846e-09	SHW1
AT1G69950	0.608	0.421	0.796	0.089	1.139	6.834	2.9071e-06	AT1G69950
AT1G69960	0.31	0.22	0.399	0.042	2.239	7.331	1.1734e-06	PP2A5
AT1G69980	0.164	0.107	0.222	0.027	4.219	6.023	1.3709e-05	AT1G69980
AT1G70000	0.262	0.197	0.326	0.031	2.65	8.575	1.4e-07	AT1G70000
AT1G70060	0.138	0.086	0.191	0.025	5.017	5.54	3.5964e-05	SNL4
AT1G70070	0.459	0.316	0.602	0.068	1.51	6.771	3.2649e-06	ISE2
AT1G70090	0.262	0.153	0.37	0.051	2.65	5.102	8.8497e-05	GATL9
AT1G70140	0.399	0.26	0.539	0.066	1.735	6.048	1.3059e-05	FH8
AT1G70150	0.078	0.055	0.1	0.011	8.929	7.245	1.3708e-06	AT1G70150
AT1G70160	0.088	0.053	0.123	0.017	7.916	5.284	6.0733e-05	AT1G70160
AT1G70180	0.454	0.337	0.571	0.055	1.527	8.191	2.6419e-07	AT1G70180
AT1G70190	0.153	0.107	0.199	0.022	4.529	7.004	2.1243e-06	AT1G70190
AT1G70200	0.405	0.262	0.547	0.068	1.712	5.995	1.4478e-05	AT1G70200
AT1G70250	0.322	0.237	0.407	0.04	2.152	7.963	3.8859e-07	AT1G70250
AT1G70250	0.092	0.032	0.152	0.028	7.497	3.253	0.0046833	AT1G70250
AT1G70280	0.243	0.177	0.31	0.031	2.847	7.767	5.4429e-07	AT1G70280
AT1G70290	0.216	0.01	0.422	0.097	3.207	2.226	0.04075	TPS8
AT1G70300	0.27	0.177	0.363	0.044	2.57	6.11	1.156e-05	POT6
AT1G70310	0.048	0.032	0.063	0.007	14.586	6.411	6.4471e-06	SPDSYN2
AT1G70350	0.094	0.068	0.12	0.012	7.383	7.572	7.658e-07	AT1G70350
AT1G70360	0.132	0.087	0.177	0.021	5.264	6.181	1.0052e-05	AT1G70360
AT1G70370	0.138	0.091	0.185	0.022	5.014	6.177	1.0137e-05	JP650
AT1G70400	0.168	0.125	0.211	0.02	4.128	8.232	2.4677e-07	AT1G70400
AT1G70410	0.036	0.017	0.056	0.009	19.083	3.88	0.0012021	BCA4
AT1G70420	0.196	0.143	0.249	0.025	3.53	7.824	4.9319e-07	AT1G70420
AT1G70430	0.264	0.207	0.321	0.027	2.626	9.821	2.0164e-08	AT1G70430
AT1G70450	0.318	0.22	0.416	0.047	2.18	6.833	2.9111e-06	AT1G70450
AT1G70460	0.216	0.139	0.293	0.036	3.215	5.915	1.6959e-05	PERK13
AT1G70480	0.392	0.319	0.465	0.035	1.769	11.33	2.4121e-09	AT1G70480
AT1G70490	0.044	0.032	0.057	0.006	15.697	7.384	1.0675e-06	ARF2-A
AT1G70510	0.228	0.145	0.312	0.04	3.034	5.751	2.3527e-05	KNAT2
AT1G70520	0.686	0.592	0.781	0.045	1.01	15.303	2.2523e-11	CRK2
AT1G70530	0.253	0.195	0.31	0.027	2.744	9.219	5.0268e-08	CRK3
AT1G70570	0.296	0.217	0.376	0.038	2.339	7.848	4.734e-07	AT1G70570
AT1G70580	0.052	0.026	0.079	0.013	13.208	4.157	0.0006595	GGAT2
AT1G70590	0.122	0.099	0.145	0.011	5.664	11.219	2.7979e-09	AT1G70590
AT1G70610	0.258	0.187	0.329	0.034	2.69	7.656	6.6026e-07	ABCB26
AT1G70620	0.433	0.285	0.582	0.07	1.6	6.147	1.0759e-05	AT1G70620
AT1G70630	1.047	0.458	1.635	0.279	0.662	3.753	0.0015843	AT1G70630
AT1G70650	0.251	0.175	0.327	0.036	2.764	6.972	2.2504e-06	AT1G70650
AT1G70660	0.034	0.022	0.046	0.006	20.37	5.963	1.5436e-05	UEV1B
AT1G70710	0.438	0.304	0.571	0.063	1.584	6.929	2.4358e-06	CEL1
AT1G70730	0.125	0.097	0.154	0.014	5.533	9.207	5.1248e-08	PGM2
AT1G70740	0.452	0.325	0.578	0.06	1.535	7.542	8.0672e-07	AT1G70740
AT1G70750	0.49	0.366	0.615	0.059	1.414	8.305	2.1855e-07	MYOB2
AT1G70770	0.161	0.116	0.206	0.022	4.304	7.483	8.9557e-07	AT1G70770
AT1G70780	0.03	0.011	0.048	0.009	23.406	3.404	0.0036283	AT1G70780
AT1G70790	0.279	0.152	0.407	0.06	2.48	4.622	0.00024355	AT1G70790
AT1G70810	0.065	0.039	0.091	0.012	10.693	5.276	6.1792e-05	AT1G70810
AT1G70900	0.05	0.029	0.07	0.01	13.893	5.115	8.6146e-05	AT1G70900
AT1G70940	0.26	0.195	0.326	0.031	2.663	8.376	1.9431e-07	PIN3
AT1G71010	0.189	0.131	0.246	0.027	3.675	6.934	2.4121e-06	FAB1C
AT1G71020	0.825	0.717	0.932	0.051	0.84	16.2	9.072e-12	PUB10
AT1G71040	0.151	0.109	0.194	0.02	4.577	7.47	9.1656e-07	LPR2
AT1G71060	0.434	0.293	0.575	0.067	1.597	6.49	5.5445e-06	AT1G71060
AT1G71070	0.777	0.526	1.028	0.119	0.892	6.526	5.181e-06	AT1G71070
AT1G71080	0.124	0.088	0.16	0.017	5.607	7.265	1.3218e-06	AT1G71080
AT1G71090	0.292	0.209	0.375	0.039	2.375	7.444	9.5939e-07	AT1G71090
AT1G71100	0.355	0.244	0.465	0.052	1.954	6.787	3.1707e-06	RPI1
AT1G71130	0.255	0.218	0.291	0.017	2.723	14.82	3.7475e-11	ERF070
AT1G71140	0.096	0.054	0.137	0.02	7.257	4.887	0.00013875	AT1G71140
AT1G71170	0.31	0.236	0.383	0.035	2.237	8.907	8.2e-08	AT1G71170
AT1G71180	0.21	0.166	0.255	0.021	3.294	10.033	1.4745e-08	AT1G71180
AT1G71190	0.114	0.09	0.138	0.011	6.071	9.983	1.587e-08	SAG18
AT1G71210	0.714	0.593	0.836	0.058	0.97	12.413	5.9896e-10	AT1G71210
AT1G71220	0.123	0.097	0.149	0.012	5.638	9.857	1.9117e-08	UGGT
AT1G71230	0.352	0.268	0.436	0.04	1.969	8.795	9.8134e-08	CSN5A
AT1G71260	0.036	0.023	0.048	0.006	19.501	6.187	9.9523e-06	WHY2
AT1G71310	0.345	0.256	0.433	0.042	2.012	8.225	2.4971e-07	AT1G71310
AT1G71340	0.653	0.439	0.868	0.102	1.061	6.432	6.202e-06	GDPD4
AT1G71350	0.283	0.23	0.335	0.025	2.452	11.322	2.4358e-09	AT1G71350
AT1G71380	0.615	0.497	0.734	0.056	1.126	10.981	3.862e-09	CEL3
AT1G71400	0.336	0.207	0.465	0.061	2.064	5.483	4.0408e-05	RLP12
AT1G71410	0.166	0.118	0.214	0.023	4.175	7.268	1.3142e-06	AT1G71410
AT1G71440	0.128	0.096	0.16	0.015	5.399	8.487	1.6186e-07	TFCE
AT1G71460	0.325	0.197	0.452	0.06	2.135	5.376	5.0266e-05	PCMP-A3
AT1G71480	0.081	0.052	0.11	0.014	8.552	5.967	1.5309e-05	AT1G71480
AT1G71500	0.282	0.242	0.322	0.019	2.456	14.787	3.8836e-11	AT1G71500
AT1G71690	0.068	0.049	0.086	0.009	10.247	7.842	4.7855e-07	AT1G71690
AT1G71695	0.041	0.012	0.071	0.014	16.722	2.976	0.0084838	PER12
AT1G71696	0.381	0.277	0.485	0.049	1.818	7.731	5.7947e-07	SOL1
AT1G71710	0.184	0.13	0.238	0.026	3.769	7.163	1.5874e-06	AT1G71710
AT1G71720	0.323	0.245	0.401	0.037	2.146	8.723	1.1021e-07	AT1G71720
AT1G71730	0.147	0.105	0.19	0.02	4.707	7.275	1.2972e-06	AT1G71730
AT1G71750	0.129	0.093	0.165	0.017	5.368	7.547	7.9933e-07	HGPT
AT1G71760	0.294	0.228	0.361	0.031	2.354	9.354	4.0818e-08	AT1G71760
AT1G71770	0.096	0.072	0.12	0.011	7.233	8.364	1.9806e-07	PAB5
AT1G71780	0.444	0.336	0.551	0.051	1.563	8.724	1.1e-07	AT1G71780
AT1G71790	0.044	0.027	0.06	0.008	15.828	5.545	3.5639e-05	AT1G71790
AT1G71800	0.449	0.308	0.59	0.067	1.544	6.724	3.564e-06	CSTF64
AT1G71810	0.198	0.127	0.269	0.034	3.507	5.868	1.863e-05	AT1G71810
AT1G71820	0.182	0.13	0.235	0.025	3.804	7.343	1.1491e-06	SEC6
AT1G71830	0.312	0.203	0.42	0.051	2.223	6.069	1.251e-05	SERK1
AT1G71840	0.261	0.181	0.342	0.038	2.653	6.824	2.9609e-06	AT1G71840
AT1G71850	0.725	0.574	0.875	0.071	0.957	10.172	1.2054e-08	AT1G71850
AT1G71860	0.075	0.058	0.092	0.008	9.256	9.504	3.246e-08	PTP1
AT1G71880	0.358	0.296	0.42	0.029	1.938	12.151	8.3126e-10	SUC1
AT1G71890	0.29	0.2	0.379	0.042	2.394	6.813	3.0201e-06	SUC5
AT1G71900	0.405	0.291	0.518	0.054	1.713	7.533	8.19e-07	AT1G71900
AT1G71930	0.15	0.088	0.212	0.029	4.618	5.123	8.4868e-05	NAC030
AT1G71940	0.717	0.538	0.897	0.085	0.966	8.449	1.721e-07	AT1G71940
AT1G71950	0.042	0.03	0.054	0.006	16.526	7.556	7.8658e-07	AT1G71950
AT1G71960	0.444	0.252	0.636	0.091	1.561	4.888	0.0001386	ABCG25
AT1G71970	0.188	0.124	0.252	0.03	3.688	6.217	9.3772e-06	AT1G71970
AT1G71980	0.366	0.233	0.498	0.063	1.895	5.827	2.0222e-05	RMR2
AT1G71990	0.286	0.181	0.391	0.05	2.426	5.73	2.4542e-05	FUT13
AT1G72020	0.04	0.027	0.054	0.006	17.133	6.32	7.6843e-06	AT1G72020
AT1G72030	0.127	0.094	0.161	0.016	5.438	7.931	4.1039e-07	AT1G72030
AT1G72040	0.129	0.096	0.162	0.016	5.384	8.191	2.6415e-07	AT1G72040
AT1G72050	1.286	0.985	1.586	0.143	0.539	9.017	6.9e-08	TFIIIA
AT1G72070	0.121	0.073	0.168	0.023	5.738	5.354	5.2645e-05	AT1G72070
AT1G72090	0.176	0.131	0.221	0.022	3.937	8.187	2.6622e-07	AT1G72090
AT1G72150	0.048	0.028	0.068	0.01	14.42	4.997	0.00011034	PATL1
AT1G72160	0.1	0.069	0.131	0.015	6.943	6.832	2.9153e-06	PATL3
AT1G72170	0.038	0.028	0.049	0.005	18.041	7.872	4.5458e-07	AT1G72170
AT1G72175	0.127	0.093	0.16	0.016	5.466	8.001	3.6407e-07	AT1G72175
AT1G72190	0.162	0.093	0.232	0.033	4.271	4.942	0.00012377	AT1G72190
AT1G72250	0.197	0.157	0.236	0.019	3.523	10.463	7.9415e-09	AT1G72250
AT1G72270	0.427	0.314	0.54	0.053	1.623	7.986	3.7391e-07	AT1G72270
AT1G72280	0.309	0.223	0.395	0.041	2.246	7.561	7.8e-07	AERO1
AT1G72300	0.476	0.352	0.599	0.059	1.456	8.131	2.9226e-07	PSYR1
AT1G72310	0.367	0.208	0.526	0.075	1.888	4.877	0.00014174	ATL3
AT1G72320	0.426	0.321	0.531	0.05	1.628	8.561	1.4324e-07	APUM23
AT1G72340	0.638	0.549	0.726	0.042	1.087	15.141	2.67e-11	AT1G72340
AT1G72360	0.493	0.406	0.58	0.041	1.407	11.964	1.0542e-09	ERF073
AT1G72370	0.074	0.053	0.095	0.01	9.39	7.471	9.141e-07	RPSAA
AT1G72390	0.312	0.236	0.387	0.036	2.225	8.731	1.0881e-07	AT1G72390
AT1G72410	0.274	0.175	0.373	0.047	2.527	5.849	1.9337e-05	AT1G72410
AT1G72420	0.074	0.043	0.104	0.014	9.4	5.106	8.7822e-05	AT1G72420
AT1G72430	0.728	0.589	0.868	0.066	0.952	10.997	3.7773e-09	AT1G72430
AT1G72440	0.349	0.265	0.434	0.04	1.983	8.751	1.0532e-07	EDA25
AT1G72450	0.115	0.079	0.151	0.017	6.015	6.725	3.5603e-06	TIFY11B
AT1G72470	0.309	0.2	0.419	0.052	2.241	5.969	1.5238e-05	ATEXO70D1
AT1G72480	0.232	0.166	0.298	0.031	2.987	7.381	1.0739e-06	AT1G72480
AT1G72500	0.22	0.165	0.275	0.026	3.151	8.406	1.85e-07	AT1G72500
AT1G72520	0.181	-0.03	0.392	0.1	3.832	1.815	0.088385	LOX4
AT1G72530	0.176	0.128	0.223	0.023	3.946	7.751	5.6e-07	MORF7
AT1G72550	0.083	0.062	0.105	0.01	8.311	8.25	2.3964e-07	AT1G72550
AT1G72560	0.908	0.683	1.133	0.107	0.763	8.509	1.5615e-07	PSD
AT1G72630	1.008	0.823	1.193	0.088	0.688	11.491	1.9468e-09	EFL2
AT1G72650	0.285	0.225	0.344	0.028	2.436	10.081	1.3757e-08	TRFL6
AT1G72670	0.379	0.334	0.424	0.021	1.829	17.883	1.847e-12	iqd8
AT1G72680	0.063	0.044	0.082	0.009	10.947	6.997	2.1512e-06	CAD1
AT1G72700	0.415	0.338	0.493	0.037	1.67	11.303	2.5003e-09	ALA5
AT1G72710	0.078	0.058	0.097	0.009	8.918	8.489	1.6127e-07	CKL2
AT1G72730	0.343	0.264	0.422	0.037	2.018	9.169	5.4403e-08	TIF4A-3
AT1G72740	0.076	0.054	0.097	0.01	9.139	7.39	1.0563e-06	AT1G72740
AT1G72750	0.254	0.18	0.329	0.035	2.724	7.206	1.4687e-06	TIM23-2
AT1G72770	0.225	0.144	0.306	0.038	3.086	5.858	1.9001e-05	HAB1
AT1G72800	0.107	0.044	0.171	0.03	6.454	3.573	0.0025381	AT1G72800
AT1G72810	0.122	0.091	0.154	0.015	5.659	8.091	3.1276e-07	TS2
AT1G72820	0.223	0.166	0.281	0.027	3.106	8.175	2.717e-07	AT1G72820
AT1G72830	0.103	0.073	0.133	0.014	6.718	7.27	1.3091e-06	NFYA3
AT1G72890	0.082	0.047	0.117	0.017	8.439	4.944	0.00012315	AT1G72890
AT1G72900	0.09	0.047	0.133	0.02	7.712	4.422	0.00037301	AT1G72900
AT1G72940	0.359	0.26	0.459	0.047	1.928	7.614	7.1042e-07	AT1G72940
AT1G72970	0.621	0.402	0.84	0.104	1.116	5.992	1.4559e-05	HTH
AT1G72990	0.12	0.065	0.175	0.026	5.785	4.578	0.00026703	BGAL17
AT1G73010	0.327	0.274	0.379	0.025	2.122	13.136	2.4914e-10	PS2
AT1G73020	0.263	0.194	0.333	0.033	2.635	7.981	3.7724e-07	AT1G73020
AT1G73030	0.033	0.014	0.051	0.009	21.163	3.712	0.001733	CHMP1B
AT1G73080	0.267	0.198	0.336	0.033	2.593	8.177	2.7042e-07	PEPR1
AT1G73100	0.817	0.583	1.051	0.111	0.849	7.365	1.1038e-06	SUVH3
AT1G73110	0.161	0.101	0.222	0.029	4.296	5.636	2.966e-05	AT1G73110
AT1G73130	0.84	0.498	1.183	0.162	0.825	5.173	7.6428e-05	AT1G73130
AT1G73150	0.541	0.439	0.644	0.049	1.28	11.12	3.1952e-09	GTE3
AT1G73170	0.374	0.262	0.486	0.053	1.853	7.049	1.9544e-06	AT1G73170
AT1G73177	0.167	0.106	0.229	0.029	4.146	5.722	2.4914e-05	BNS
AT1G73180	0.175	0.128	0.221	0.022	3.969	7.898	4.3415e-07	AT1G73180
AT1G73200	0.117	0.087	0.147	0.014	5.937	8.187	2.662e-07	AT1G73200
AT1G73230	0.056	0.04	0.071	0.008	12.478	7.36	1.1139e-06	AT1G73230
AT1G73240	0.471	0.326	0.617	0.069	1.471	6.841	2.8664e-06	AT1G73240
AT1G73250	0.089	0.072	0.107	0.008	7.758	10.901	4.308e-09	GER1
AT1G73320	0.352	0.252	0.453	0.048	1.968	7.387	1.0621e-06	AT1G73320
AT1G73350	0.542	0.36	0.724	0.086	1.279	6.283	8.2588e-06	AT1G73350
AT1G73360	0.182	0.116	0.249	0.032	3.8	5.756	2.3267e-05	HDG11
AT1G73380	0.116	0.095	0.137	0.01	5.974	11.676	1.5282e-09	AT1G73380
AT1G73390	0.344	0.234	0.454	0.052	2.018	6.591	4.5791e-06	AT1G73390
AT1G73400	0.407	0.269	0.544	0.065	1.704	6.241	8.9521e-06	AT1G73400
AT1G73430	0.193	0.125	0.26	0.032	3.597	6.05	1.2995e-05	AT1G73430
AT1G73440	0.236	0.121	0.351	0.054	2.934	4.335	0.00044992	AT1G73440
AT1G73470	0.114	0.091	0.137	0.011	6.085	10.58	6.7371e-09	AT1G73470
AT1G73480	0.495	0.342	0.647	0.072	1.401	6.857	2.7854e-06	AT1G73480
AT1G73490	0.428	0.332	0.524	0.046	1.62	9.365	4.016e-08	AT1G73490
AT1G73500	0.275	0.142	0.408	0.063	2.523	4.356	0.00043011	MKK9
AT1G73530	0.18	0.134	0.227	0.022	3.841	8.109	3.0348e-07	AT1G73530
AT1G73540	0.328	0.194	0.463	0.064	2.111	5.167	7.7355e-05	NUDT21
AT1G73570	0.804	0.565	1.042	0.113	0.862	7.115	1.7316e-06	HRD3B
AT1G73590	0.298	0.217	0.379	0.039	2.325	7.736	5.7439e-07	PIN1
AT1G73600	0.381	0.25	0.512	0.062	1.818	6.137	1.0956e-05	NMT3
AT1G73630	0.43	0.334	0.527	0.046	1.611	9.405	3.7739e-08	CML26
AT1G73640	0.313	0.252	0.373	0.029	2.218	10.83	4.7504e-09	RABA6A
AT1G73650	0.062	0.043	0.081	0.009	11.111	6.936	2.4041e-06	AT1G73650
AT1G73655	0.144	0.104	0.184	0.019	4.819	7.583	7.5037e-07	FKBP17-3
AT1G73660	0.328	0.222	0.434	0.05	2.114	6.542	5.0229e-06	AT1G73660
AT1G73670	0.184	0.125	0.242	0.028	3.776	6.637	4.1986e-06	MPK15
AT1G73690	0.738	0.549	0.927	0.09	0.939	8.236	2.45e-07	CDKD-1
AT1G73700	0.083	0.06	0.107	0.011	8.316	7.396	1.0451e-06	AT1G73700
AT1G73710	1.109	0.775	1.442	0.158	0.625	7.007	2.1114e-06	AT1G73710
AT1G73720	0.083	0.06	0.106	0.011	8.367	7.599	7.3032e-07	SMU1
AT1G73730	0.656	0.513	0.799	0.068	1.056	9.696	2.4314e-08	EIL3
AT1G73740	0.551	0.414	0.689	0.065	1.257	8.451	1.7166e-07	AT1G73740
AT1G73750	0.244	0.148	0.34	0.045	2.842	5.363	5.1657e-05	AT1G73750
AT1G73760	0.504	0.373	0.634	0.062	1.376	8.147	2.8464e-07	AT1G73760
AT1G73790	0.258	0.202	0.315	0.027	2.682	9.589	2.8558e-08	GIP2
AT1G73800	0.162	0.082	0.243	0.038	4.273	4.256	0.00053335	AT1G73800
AT1G73805	0.136	0.079	0.192	0.027	5.11	5.059	9.6839e-05	SARD1
AT1G73820	0.218	0.165	0.272	0.026	3.173	8.559	1.4382e-07	AT1G73820
AT1G73840	0.055	0.037	0.072	0.008	12.716	6.628	4.2702e-06	ESP1
AT1G73860	0.093	0.063	0.122	0.014	7.491	6.637	4.1989e-06	AT1G73860
AT1G73880	0.344	0.233	0.455	0.053	2.016	6.547	4.9764e-06	UGT89B1
AT1G73920	0.206	0.165	0.247	0.019	3.366	10.642	6.1709e-09	AT1G73920
AT1G73930	0.87	0.675	1.064	0.092	0.797	9.436	3.6e-08	AT1G73930
AT1G73940	0.055	0.039	0.071	0.008	12.587	7.227	1.4156e-06	AT1G73940
AT1G73950	0.128	0.093	0.163	0.017	5.416	7.647	6.714e-07	AT1G73950
AT1G73960	0.165	0.126	0.204	0.018	4.2	9.021	6.8593e-08	TAF2
AT1G73970	0.25	0.186	0.314	0.03	2.773	8.225	2.4981e-07	AT1G73970
AT1G73980	0.159	0.119	0.199	0.019	4.355	8.348	2.0327e-07	AT1G73980
AT1G73990	0.239	0.171	0.306	0.032	2.906	7.471	9.14e-07	SPPA
