ID	gamma	gamma.97.5	gamma.2.5	gamma.stderr	t.half	t.fit	p.fit	name
AT1G12900	0.139	0.102	0.176	0.017	4.983	7.964	3.8786e-07	GAPA2
AT1G12910	0.132	0.107	0.158	0.012	5.236	10.959	4e-09	LWD1
AT1G12930	0.327	0.244	0.411	0.039	2.118	8.293	2.2272e-07	AT1G12930
AT1G12940	0.073	0.046	0.1	0.013	9.494	5.736	2.4258e-05	NRT2.5
AT1G12950	0.094	0.063	0.125	0.015	7.36	6.449	5.9958e-06	RSH2
AT1G12970	0.792	0.545	1.04	0.117	0.875	6.745	3.428e-06	PIRL3
AT1G12990	0.26	0.206	0.314	0.026	2.668	10.187	1.1789e-08	AT1G12990
AT1G13000	0.372	0.268	0.475	0.049	1.864	7.574	7.6246e-07	AT1G13000
AT1G13020	0.338	0.25	0.426	0.042	2.05	8.125	2.9548e-07	EIF4B2
AT1G13030	0.286	0.211	0.362	0.036	2.42	7.959	3.9166e-07	AT1G13030
AT1G13050	0.63	0.398	0.862	0.11	1.1	5.73	2.4542e-05	AT1G13050
AT1G13120	0.433	0.306	0.56	0.06	1.599	7.2	1.4861e-06	GLE1
AT1G13160	0.623	0.483	0.763	0.066	1.112	9.392	3.8536e-08	AT1G13160
AT1G13170	0.249	0.18	0.318	0.033	2.786	7.594	7.3628e-07	ORP1D
AT1G13180	0.215	0.143	0.286	0.034	3.23	6.339	7.4152e-06	ARP3
AT1G13190	0.159	0.098	0.219	0.029	4.369	5.556	3.4812e-05	AT1G13190
AT1G13195	0.234	0.174	0.295	0.029	2.96	8.181	2.6887e-07	AT1G13195
AT1G13220	0.274	0.193	0.355	0.038	2.528	7.134	1.6749e-06	CRWN2
AT1G13250	1.295	0.754	1.836	0.257	0.535	5.048	9.9055e-05	GATL3
AT1G13260	0.855	0.746	0.963	0.051	0.811	16.641	5.8955e-12	RAV1
AT1G13270	0.143	0.107	0.179	0.017	4.853	8.381	1.9265e-07	MAP1B
AT1G13280	0.15	0.1	0.201	0.024	4.612	6.299	8.0046e-06	AOC4
AT1G13300	0.132	0.082	0.181	0.023	5.27	5.624	3.0368e-05	HRS1
AT1G13320	0.074	0.043	0.105	0.015	9.351	5.009	0.00010746	PP2AA3
AT1G13330	0.245	0.185	0.305	0.028	2.831	8.592	1.3637e-07	HOP2
AT1G13370	0.321	0.129	0.514	0.091	2.159	3.536	0.0027477	AT1G13370
AT1G13380	0.056	0.041	0.07	0.007	12.424	8.161	2.78e-07	AT1G13380
AT1G13440	0.043	0.028	0.059	0.007	15.996	6.014	1.3957e-05	GAPC2
AT1G13450	0.111	0.069	0.153	0.02	6.247	5.539	3.6032e-05	GT-1
AT1G13460	2.27	1.012	3.529	0.597	0.305	3.805	0.0014141	B'THETA
AT1G13560	0.057	0.039	0.074	0.008	12.178	6.87	2.7171e-06	AAPT1
AT1G13570	0.197	0.13	0.264	0.032	3.516	6.183	1.0021e-05	AT1G13570
AT1G13610	0.098	0.032	0.163	0.031	7.09	3.155	0.0057846	AT1G13610
AT1G13640	0.24	0.163	0.318	0.037	2.884	6.517	5.2732e-06	PI4KG6
AT1G13690	0.188	0.135	0.241	0.025	3.688	7.517	8.4242e-07	ATE1
AT1G13730	0.225	0.168	0.282	0.027	3.08	8.373	1.9518e-07	AT1G13730
AT1G13810	0.127	0.087	0.167	0.019	5.459	6.62	4.3387e-06	AT1G13810
AT1G13870	0.335	0.258	0.412	0.036	2.069	9.198	5.1948e-08	KTI12
AT1G13880	1.056	0.818	1.294	0.113	0.656	9.354	4.0821e-08	AT1G13880
AT1G13900	0.259	0.175	0.344	0.04	2.671	6.451	5.9765e-06	PAP2
AT1G13930	0.064	0.047	0.081	0.008	10.838	7.746	5.6458e-07	AT1G13930
AT1G13940	0.59	0.472	0.709	0.056	1.174	10.519	7.3396e-09	AT1G13940
AT1G13950	0.034	0.022	0.047	0.006	20.123	5.659	2.8304e-05	ELF5A-1
AT1G13960	0.212	0.134	0.29	0.037	3.274	5.722	2.4949e-05	WRKY4
