Ot7911.bam COL01 2941956984 2.74
Ot7912.bam COL01 2703709281 2.52
Ot7913.bam COL01 2225370958 2.07
Ot7914.bam COL30 2414247065 2.25
Ot7915.bam COL30 1856669963 1.73
Ot7916.bam COL30 3996484040 3.72
Ot7917.bam COL60 1956973264 1.82
Ot7918.bam COL60 1722556635 1.60
Ot7919.bam COL60 2269677488 2.11
Ot7920.bam  1943856331 1.81
Ot7921.bam  1727370397 1.61
Ot7922.bam  1884255579 1.75
Ot7923.bam AS201 2971935560 2.77
Ot7924.bam AS201 1748979038 1.63
Ot7925.bam AS201 1780467330 1.66
Ot7926.bam AS230 2069352727 1.93
Ot7927.bam AS230 1723017779 1.60
Ot7928.bam AS230 2744574868 2.56
Ot7929.bam AS260 2602106889 2.42
Ot7930.bam AS260 2757693589 2.57
Ot7931.bam AS260 1272836961 1.19
Ot7932.bam  1712838111 1.60
Ot7933.bam  1742190841 1.62
Ot7934.bam  1718731902 1.60
Ot7935.bam STM01 2221619566 2.07
Ot7936.bam STM01 1784001248 1.66
Ot7937.bam STM01 2821292191 2.63
Ot7938.bam STM30 2318776228 2.16
Ot7939.bam STM30 2723951759 2.54
Ot7940.bam STM30 1569367707 1.46
Ot7941.bam STM60 1708924525 1.59
Ot7942.bam STM60 2285163903 2.13
Ot7943.bam STM60 2179070380 2.03
Ot7944.bam  2492362849 2.32
Ot7945.bam  1721811619 1.60
Ot7946.bam  2743575071 2.56
Ot7947.bam REV01 1498415827 1.40
Ot7948.bam REV01 1516123505 1.41
Ot7949.bam REV01 2605813031 2.43
Ot7950.bam REV30 2525497113 2.35
Ot7951.bam REV30 1652261615 1.54
Ot7952.bam REV60 1583648930 1.47
Ot7953.bam REV60 1867041803 1.74
Ot7954.bam REV60 2168912665 2.02
Ot7955.bam  1761695817 1.64
Ot7956.bam  1543154559 1.44
Ot7957.bam  1943698590 1.81
Ot7958.bam KAN01 1447115289 1.35
Ot7959.bam KAN01 2039788083 1.90
Ot7960.bam KAN01 2639145836 2.46
Ot7961.bam KAN30 2963355992 2.76
Ot7962.bam KAN30 2412368851 2.25
Ot7963.bam KAN30 2622577473 2.44
Ot7964.bam KAN60 2516302936 2.34
Ot7965.bam KAN30 1792963331 1.67
Ot7966.bam KAN30 2135996324 1.99
Ot7967.bam  2665531286 2.48
Ot7968.bam  2747221904 2.56
Ot7969.bam  2501543949 2.33
